RecordID,Age,Gender,City
BIK894,39.0,Male,Düsseldorf 
BRA1118,30.0,Male,Munich
AJB235,32.0,Male,Berlin
BAB677,28.0,Male,Munich
AVD549,34.0,Male,Munich
BLY986,27.0,Male,Berlin
BGH839,26.0,Male,Eindhoven
BVZ1247,34.0,Male,Zurich
AQE420,31.0,Female,Munich
BDW776,26.0,Male,Berlin
BUI1204,35.0,Male,Ingolstadt
AFI138,34.0,Male,Berlin
APK400,23.0,Male,Berlin
BQT1111,30.0,Male,Cologne
BVY1246,38.0,Male,Berlin
BJR927,25.0,Male,Stuttgart
AEO118,28.0,Male,Cologne
AZY674,35.0,Male,Berlin
BLW984,29.0,Male,Berlin
AGC158,27.0,Male,Munich
ADY102,38.0,Female,Munich
AZM662,40.0,Male,Berlin
BUX1219,26.0,Male,Munich
BBI710,35.0,Male,Berlin
BAQ692,33.0,Male,Berlin
BNQ1030,25.0,Male,Brussels 
APF395,35.0,Male,Berlin
BSY1168,40.0,Male,Berlin
BVM1234,26.0,Male,Saint-Petersburg
AER121,32.0,Female,Kempten
AIH215,34.0,Male,Berlin
AWC574,38.0,Male,Berlin
BKP951,29.0,Male,Berlin
AID211,34.0,Male,Munich
ASJ477,38.0,Male,Munich
ABG32,29.0,Female,Berlin
AOP379,32.0,Male,Berlin
BLF967,29.0,Male,Basel
BKA936,36.0,Male,Zurich
AIM220,36.0,Male,Berlin
BIP899,35.0,Male,Berlin
AKU280,33.0,Male,Frankfurt
ARE446,34.0,Female,Berlin
AIJ217,27.0,Male,Berlin
AFE134,40.0,Male,Berlin
BUF1201,30.0,Male,Berlin
AWX595,35.0,Male,Berlin
AXV619,36.0,Male,Berlin
BTI1178,31.0,,Berlin
ASH475,34.0,Male,Berlin
AYP639,36.0,Female,Berlin
AMU332,34.0,Male,Berlin
AWU592,34.0,Male,Berlin
AIR225,24.0,Male,Boeblingen
ANT357,26.0,Male,Karlsruhe
BFJ815,37.0,Male,Berlin
ATJ503,33.0,Male,Munich
BTG1176,33.0,Male,Berlin
BFX829,,Male,Berlin
AFZ155,37.0,Male,Berlin
AKQ276,38.0,Male,Munich
AOS382,26.0,Male,"Riga, Latvia"
BLO976,30.0,Male,Munich
AHP197,38.0,Male,Frankfurt
BLB963,26.0,Male,Berlin
ARV463,35.0,Female,Stuttgart 
AHO196,40.0,Male,Munich
BTW1192,35.0,Female,Munich
BSU1164,29.0,Male,Berlin
ADN91,30.0,Male,Munich
APG396,37.0,Male,Hamburg
BNL1025,28.0,Female,Berlin
BWC1250,39.0,Male,Munich
BIF889,30.0,Male,Berlin
ADS96,28.0,Male,Berlin
BDN767,36.0,Male,Frankfurt
AFA130,30.0,Male,Berlin
BMH995,32.0,Male,Berlin
BHT877,33.0,Male,Munich
AKK270,29.0,Male,Berlin
AZS668,43.0,Male,Cologne
BSJ1153,32.0,Male,Copenhagen
BMZ1013,32.0,Male,Munich
ASG474,34.0,Male,Tallinn
AII216,36.0,Female,Berlin
ASA468,31.0,Female,Berlin
BDE758,26.0,Male,Berlin
ACZ77,33.0,Male,Frankfurt
BII892,35.0,Male,Berlin
AXT617,42.0,Male,Wroclaw
BLA962,36.0,Male,Hamburg
BML999,40.0,Male,Hildesheim
BJP925,26.0,Male,Amsterdam
AJW256,29.0,Male,Munich
BTT1189,36.0,Male,Berlin
AFV151,42.0,Female,Berlin
AXE602,36.0,Male,Berlin
BPF1071,34.0,Male,Munich
AKI268,32.0,Female,Stuttgart
AKL271,37.0,Male,Berlin
AVQ562,28.0,Male,Rome
BEM792,28.0,Male,Berlin
ARZ467,36.0,Male,Munich
AFH137,42.0,Male,Berlin
BCC730,35.0,Female,Frankfurt
BCF733,27.0,Male,Munich
AGY180,32.0,Male,Berlin
AGG162,42.0,Male,Berlin
BOB1041,26.0,Male,Berlin
BPO1080,25.0,Male,Hamburg
AOV385,26.0,Male,Hamburg
ANJ347,27.0,Male,Munich
ADP93,27.0,Female,Hamburg
AJJ243,33.0,Male,Munich
ANP353,29.0,Male,Munich
BGW854,27.0,Female,Berlin
BFQ822,27.0,Male,Berlin
AFN143,35.0,Male,Berlin
BNR1031,23.0,Female,Berlin
BBE706,41.0,Male,Berlin
AWG578,25.0,Male,Berlin
APM402,27.0,Female,Berlin
BIS902,36.0,Male,Dortmund
AAF5,32.0,Male,Berlin
AFU150,25.0,Male,Berlin
BRP1133,31.0,Female,Berlin
BFE810,37.0,Male,Berlin
ARS460,32.0,Male,Hamburg
AMF317,26.0,Male,Frankfurt
BDM766,31.0,Female,Berlin
ASL479,28.0,Male,Berlin
ALO300,,Male,Berlin
ANK348,27.0,Male,Munich
BJI918,43.0,Male,Berlin
AFK140,35.0,Male,Berlin
BIO898,28.0,Male,London
ASC470,28.0,Male,Berlin
AQJ425,26.0,Male,London
BAL687,32.0,Female,Munich
